Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
694,Census Tract 9800,190,Census Tract 505.46,"1/1/2020 - 3/31/2020, Every day, Daily Average",3446,2799,4242
694,Census Tract 9800,191,Census Tract 505.48,"1/1/2020 - 3/31/2020, Every day, Daily Average",2980,2414,3678
694,Census Tract 9800,192,Census Tract 507.24,"1/1/2020 - 3/31/2020, Every day, Daily Average",3568,2971,4284
694,Census Tract 9800,193,Census Tract 505.23,"1/1/2020 - 3/31/2020, Every day, Daily Average",2804,2298,3420
694,Census Tract 9800,194,Census Tract 507.28,"1/1/2020 - 3/31/2020, Every day, Daily Average",3033,2559,3594
694,Census Tract 9800,195,Census Tract 502.16,"1/1/2020 - 3/31/2020, Every day, Daily Average",2736,2184,3426
694,Census Tract 9800,196,Census Tract 504.31,"1/1/2020 - 3/31/2020, Every day, Daily Average",2491,1872,3313
694,Census Tract 9800,199,Census Tract 1601,"1/1/2020 - 3/31/2020, Every day, Daily Average",2256,1779,2859
694,Census Tract 9800,201,Census Tract 1602,"1/1/2020 - 3/31/2020, Every day, Daily Average",2436,1917,3093
694,Census Tract 9800,202,Census Tract 1604,"1/1/2020 - 3/31/2020, Every day, Daily Average",2652,1922,3658
694,Census Tract 9800,203,Census Tract 1605,"1/1/2020 - 3/31/2020, Every day, Daily Average",2550,1987,3272
694,Census Tract 9800,204,Census Tract 9607,"1/1/2020 - 3/31/2020, Every day, Daily Average",3428,2821,4164
694,Census Tract 9800,205,Census Tract 9608.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",3191,2614,3894
694,Census Tract 9800,206,Census Tract 9608.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2903,2385,3532
694,Census Tract 9800,207,Census Tract 9608.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2836,2322,3462
694,Census Tract 9800,208,Census Tract 806.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1729,1411,2118
694,Census Tract 9800,209,Census Tract 1106.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",3972,3297,4784
694,Census Tract 9800,212,Census Tract 1106.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",3611,2975,4382
694,Census Tract 9800,213,Census Tract 1105.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",3245,2801,3758
694,Census Tract 9800,214,Census Tract 1105.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",3646,3123,4256
694,Census Tract 9800,215,Census Tract 1106.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",3986,3272,4855
694,Census Tract 9800,216,Census Tract 910.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",3089,2571,3710
694,Census Tract 9800,217,Census Tract 911.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",3558,2858,4428
694,Census Tract 9800,218,Census Tract 1403.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",2107,1757,2525
694,Census Tract 9800,219,Census Tract 1403.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",2386,2016,2822
694,Census Tract 9800,220,Census Tract 1404.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",1741,1381,2194
694,Census Tract 9800,221,Census Tract 1404.05,"1/1/2020 - 3/31/2020, Every day, Daily Average",1917,1511,2431
694,Census Tract 9800,222,Census Tract 1404.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",1480,1158,1890
694,Census Tract 9800,223,Census Tract 1405.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",2637,2204,3153
694,Census Tract 9800,224,Census Tract 1405.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",2241,1808,2776
694,Census Tract 9800,225,Census Tract 1404.08,"1/1/2020 - 3/31/2020, Every day, Daily Average",2053,1673,2518
694,Census Tract 9800,226,Census Tract 1404.07,"1/1/2020 - 3/31/2020, Every day, Daily Average",1746,1390,2192
694,Census Tract 9800,227,Census Tract 1401.02,"1/1/2020 - 3/31/2020, Every day, Daily Average",1320,1013,1718
694,Census Tract 9800,228,Census Tract 1404.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",1551,1203,1998
694,Census Tract 9800,229,Census Tract 1403.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",2004,1647,2438
694,Census Tract 9800,230,Census Tract 1401.01,"1/1/2020 - 3/31/2020, Every day, Daily Average",1112,830,1488
694,Census Tract 9800,231,Census Tract 1402.03,"1/1/2020 - 3/31/2020, Every day, Daily Average",1306,1007,1693
694,Census Tract 9800,232,Census Tract 1403.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",2232,1879,2651
694,Census Tract 9800,233,Census Tract 1402.04,"1/1/2020 - 3/31/2020, Every day, Daily Average",1454,1094,1930
694,Census Tract 9800,234,Census Tract 1402.06,"1/1/2020 - 3/31/2020, Every day, Daily Average",1600,1303,1964
